"","name","id","class","mass","fall_found","year","lat","long"
"794","El Mdano ",56594,"H5",22.5,"Found",2011,-24.85,-70.53333
"795","El Mdano ",56595,"H5",12.6,"Found",2011,-24.85,-70.53333
"796","El Mdano ",56596,"H5",45,"Found",2011,-24.85,-70.53333
"797","El Mdano ",56597,"H4",12.9,"Found",2011,-24.85,-70.53333
"798","El Mdano ",56598,"H4",1258,"Found",2011,-24.85,-70.53333
"799","El Mdano ",56599,"H4",13.9,"Found",2011,-24.85,-70.53333
"800","El Mdano ",56600,"L6",10.1,"Found",2011,-24.85,-70.53333
"801","El Mdano ",56601,"L6",296,"Found",2011,-24.85,-70.53333
"802","El Mdano ",56602,"L6",18.8,"Found",2011,-24.85,-70.53333
"803","El Mdano ",56603,"H5",17.8,"Found",2011,-24.85,-70.53333
"804","El Mdano ",56604,"H6",289,"Found",2011,-24.85,-70.53333
"805","El Mdano ",56605,"H4-6",51.8,"Found",2011,-24.85,-70.53333
"806","El Mdano ",56606,"L6",35.3,"Found",2011,-24.85,-70.53333
"807","El Mdano ",56607,"LL6",72,"Found",2011,-24.85,-70.53333
"808","El Mdano ",56608,"L5-6",229,"Found",2011,-24.85,-70.53333
"809","El Mdano ",56609,"L6",135,"Found",2011,-24.85,-70.53333
"810","El Mdano ",56610,"H5",10.5,"Found",2011,-24.85,-70.53333
"811","El Mdano ",56634,"L6",19.1,"Found",2011,-24.85,-70.53333
"812","El Mdano ",56635,"H4/5",65,"Found",2011,-24.85,-70.53333
"813","El Mdano ",56636,"LL6",61,"Found",2011,-24.85,-70.53333
"814","El Mdano ",56637,"LL5",27,"Found",2011,-24.85,-70.53333
"815","El Mdano ",56638,"H5/6",16.7,"Found",2011,-24.85,-70.53333
"816","El Mdano ",56639,"H5/6",91,"Found",2011,-24.85,-70.53333
"817","El Mdano ",56640,"H5/6",10.3,"Found",2011,-24.85,-70.53333
"818","El Mdano ",56641,"H4",15.5,"Found",2011,-24.85,-70.53333
"819","El Mdano ",56642,"LL6",28.8,"Found",2011,-24.85,-70.53333
"823","Northwest Africa ",56654,"L5",882,"Found",2011,24.77583,-14.56283
"825","El Mdano ",56657,"H5",139,"Found",2011,-24.85,-70.53333
"826","El Mdano ",56658,"H5",23,"Found",2011,-24.85,-70.53333
"827","El Mdano ",56659,"L6",37,"Found",2011,-24.85,-70.53333
"828","El Mdano ",56660,"H5",24.4,"Found",2011,-24.85,-70.53333
"829","El Mdano ",56661,"H5",84,"Found",2011,-24.85,-70.53333
"830","El Mdano ",56662,"H6",46,"Found",2011,-24.85,-70.53333
"831","El Mdano ",56663,"L6",52,"Found",2011,-24.85,-70.53333
"832","El Mdano ",56664,"H5",161,"Found",2011,-24.85,-70.53333
"833","El Mdano ",56666,"H5",24.2,"Found",2011,-24.85,-70.53333
"834","El Mdano ",56667,"H5",333,"Found",2011,-24.85,-70.53333
"835","El Mdano ",56668,"L5/6",55,"Found",2011,-24.85,-70.53333
"836","El Mdano ",56669,"H5",22.1,"Found",2011,-24.85,-70.53333
"837","El Mdano ",56670,"H5",39,"Found",2011,-24.85,-70.53333
"840","El Mdano ",56689,"Acapulcoite",11.1,"Found",2011,-24.85,-70.53333
"841","El Mdano ",56690,"L6",93,"Found",2011,-24.85,-70.53333
"842","El Mdano ",56691,"H5",584,"Found",2011,-24.85,-70.53333
"843","El Mdano ",56692,"H5",130,"Found",2011,-24.85,-70.53333
"844","El Mdano ",56693,"L6",556,"Found",2011,-24.85,-70.53333
"845","El Mdano ",56694,"L6",27.8,"Found",2011,-24.85,-70.53333
"846","El Mdano ",56695,"L6",43.6,"Found",2011,-24.85,-70.53333
"847","El Mdano ",56696,"H4",106,"Found",2011,-24.85,-70.53333
"848","El Mdano ",56697,"H4",670,"Found",2011,-24.85,-70.53333
"849","El Mdano ",56698,"LL6",397,"Found",2011,-24.85,-70.53333
"850","El Mdano ",56699,"H5",20.5,"Found",2011,-24.85,-70.53333
"851","El Mdano ",56700,"L6",71,"Found",2011,-24.85,-70.53333
"852","El Mdano ",56701,"L5",57,"Found",2011,-24.85,-70.53333
"853","El Mdano ",56702,"H5",37,"Found",2011,-24.85,-70.53333
"854","El Mdano ",56703,"L6",17.9,"Found",2011,-24.85,-70.53333
"855","El Mdano ",56704,"H5",11.3,"Found",2011,-24.85,-70.53333
"856","El Mdano ",56705,"H4/5",11.5,"Found",2011,-24.85,-70.53333
"857","El Mdano ",56706,"L6",752,"Found",2011,-24.85,-70.53333
"858","El Mdano ",56707,"H4",59,"Found",2011,-24.85,-70.53333
"859","El Mdano ",56708,"L4",87,"Found",2011,-24.85,-70.53333
"860","El Mdano ",56709,"H5",20.4,"Found",2011,-24.85,-70.53333
"861","El Mdano ",56710,"H4",10.9,"Found",2011,-24.85,-70.53333
"862","El Mdano ",56711,"L6",19.9,"Found",2011,-24.85,-70.53333
"863","El Mdano ",56712,"H5",298,"Found",2011,-24.85,-70.53333
"864","El Mdano ",56713,"H5",99,"Found",2011,-24.85,-70.53333
"865","El Mdano ",56714,"L6",56,"Found",2011,-24.85,-70.53333
"866","El Mdano ",56715,"H4",12.6,"Found",2011,-24.85,-70.53333
