"","name","class","mass","fall_found","year","lat","long","continent","country","iso3","masscategory"
"8848","san joaquin","l",31.8,"Found",2005,32.16657,-111.11718,"North America","United States of America","USA","10g to 100g"
"8850","grove mountains","l",2.41,"Found",2005,-73.113056,75.159722,"Antarctica","Antarctica","ATA","1g to 10g"
"8851","grove mountains","ll",6.4,"Found",2005,-73.094444,75.203333,"Antarctica","Antarctica","ATA","1g to 10g"
"8852","dhofar","lunar",106.5,"Found",2005,19.29167,54.57333,"Asia","Oman","OMN","greater than 100g"
"8853","sayh al uhaymir","l",73.8,"Found",2005,20.01022,56.52188,"Asia","Oman","OMN","10g to 100g"
"8861","roosevelt county","l",17.3,"Found",2005,34.21667,-103.18333,"North America","United States of America","USA","10g to 100g"
"8868","la luz","h",4798,"Found",2005,33.00383,-105.85083,"North America","United States of America","USA","greater than 100g"
"8894","dar al gani","l",955,"Found",2005,27.49583,16.25833,"Africa","Libya","LBY","greater than 100g"
"8895","nahuel niyeu","h",10540,"Found",2005,-40.53333,-66.63333,"South America","Argentina","ARG","greater than 100g"
"8900","united arab emirates","l",2000,"Found",2005,22.84231,55.14103,"Asia","United Arab Emirates","ARE","greater than 100g"
"8904","tungsten mountain","h",41.6,"Found",2005,39.67888,-117.62945,"North America","United States of America","USA","10g to 100g"
"8905","northwest africa","ureilite",216,"Found",2005,30.928,-4.85833,"Africa","Morocco","MAR","greater than 100g"
"8906","northwest africa","r",145,"Found",2005,30.9715,-4.94983,"Africa","Morocco","MAR","greater than 100g"
"8908","porto alegre","iron",2e+05,"Found",2005,-30.03306,-51.23,"South America","Brazil","BRA","greater than 100g"
"8909","dhofar","l",345,"Found",2005,18.64867,54.43083,"Asia","Oman","OMN","greater than 100g"
"8912","dhofar","h",556,"Found",2005,18.76433,54.387,"Asia","Oman","OMN","greater than 100g"
"8913","shahdad","h",1074,"Found",2005,30.55383,57.78417,"Asia","Iran","IRN","greater than 100g"
"8926","buck mountains","h",145.8,"Found",2005,34.70108,-114.18845,"North America","United States of America","USA","greater than 100g"
"8928","sleeper camp","h",192,"Found",2005,-30.17917,126.40056,"Australia","Australia","AUS","greater than 100g"
"8929","sleeper camp","l",150,"Found",2005,-30.17361,126.43444,"Australia","Australia","AUS","greater than 100g"
"8930","sleeper camp","h",10.85,"Found",2005,-30.16028,126.34833,"Australia","Australia","AUS","10g to 100g"
"8932","lone island lake","iron",4800,"Found",2005,50.00957,-95.38537,"North America","Canada","CAN","greater than 100g"
"8934","lixian","iron",43000,"Found",2005,29.85167,111.59833,"Asia","China","CHN","greater than 100g"
"8938","frontier mountain","h",0.9,"Found",2004,-72.95228,160.50106,"Antarctica","Antarctica","ATA","less than 1g"
"8939","jiddat al harasis","l",2e+05,"Found",2004,19.65167,55.69,"Asia","Oman","OMN","greater than 100g"
"8940","mount dewitt","ll",725.2,"Found",2004,-77.20919,159.76117,"Antarctica","Antarctica","ATA","greater than 100g"
"8941","sayh al uhaymir","martian",278.5,"Found",2004,21.00333,57.31833,"Asia","Oman","OMN","greater than 100g"
"8942","sayh al uhaymir","cv",168,"Found",2004,21.07,57.27,"Asia","Oman","OMN","greater than 100g"
"8943","villalbeto de la pea","l",3500,"Fell",2004,42.8,-4.66667,"Europe","Spain","ESP","greater than 100g"
"8944","benguerir","ll",25000,"Fell",2004,32.25,-8.15,"Africa","Morocco","MAR","greater than 100g"
"8945","buck mountain wash","h",798,"Found",2004,34.72453,-114.20883,"North America","United States of America","USA","greater than 100g"
"8946","capot rey","h",38000,"Found",2004,20.12593,10.2056,"Africa","Niger","NER","greater than 100g"
"8947","coyote dry lake","l",1.47,"Found",2004,35.08838,-116.75283,"North America","United States of America","USA","1g to 10g"
"8948","coyote dry lake","l",22.5,"Found",2004,35.04008,-116.75553,"North America","United States of America","USA","10g to 100g"
"8949","coyote dry lake","l",512,"Found",2004,35.03842,-116.75818,"North America","United States of America","USA","greater than 100g"
"8950","coyote dry lake","h",16.36,"Found",2004,35.08958,-116.75007,"North America","United States of America","USA","10g to 100g"
"8951","coyote dry lake","ll",81.4,"Found",2004,35.05628,-116.73377,"North America","United States of America","USA","10g to 100g"
"8952","coyote dry lake","h",71.8,"Found",2004,35.08758,-116.74603,"North America","United States of America","USA","10g to 100g"
"8953","dhofar","h",702,"Found",2004,18.14217,54.09683,"Asia","Oman","OMN","greater than 100g"
"8954","dhofar","h",14,"Found",2004,18.85817,54.59933,"Asia","Oman","OMN","10g to 100g"
"8955","dhofar","h",124,"Found",2004,19.01677,54.36637,"Asia","Oman","OMN","greater than 100g"
"8956","dhofar","h",650,"Found",2004,19.0315,54.3735,"Asia","Oman","OMN","greater than 100g"
"8957","dhofar","l",422,"Found",2004,18.96077,54.37707,"Asia","Oman","OMN","greater than 100g"
"8958","dhofar","l",24,"Found",2004,18.92433,54.364,"Asia","Oman","OMN","10g to 100g"
"8959","dhofar","r",81.4,"Found",2004,18.76075,54.47285,"Asia","Oman","OMN","10g to 100g"
"8960","dhofar","h",1592,"Found",2004,19.126,54.85633,"Asia","Oman","OMN","greater than 100g"
"8961","dhofar","l",247,"Found",2004,19.15314,54.96017,"Asia","Oman","OMN","greater than 100g"
"8962","dhofar","l",868,"Found",2004,19.19217,54.9855,"Asia","Oman","OMN","greater than 100g"
"8963","dhofar","h",79,"Found",2004,19.29667,54.9336,"Asia","Oman","OMN","10g to 100g"
"8964","dhofar","h",8.1,"Found",2004,19.38517,54.83367,"Asia","Oman","OMN","1g to 10g"
"8965","dhofar","ll",79,"Found",2004,19.23439,54.91681,"Asia","Oman","OMN","10g to 100g"
